carat,cut,color,clarity,depth,table,price
0.9,Premium,I,SI1,60.9,56.0,2947
0.8,Good,G,SI2,63.7,58.0,2484
0.3,Ideal,E,VS2,62.2,56.0,658
0.73,Ideal,F,SI1,59.6,57.0,2527
0.43,Ideal,G,VS1,61.3,57.0,1008
1.04,Premium,H,SI1,62.6,59.0,4890
0.52,Good,F,SI1,63.6,62.0,1357
0.41,Very Good,E,SI1,62.8,57.0,705
1.13,Very Good,F,SI1,63.2,56.0,5584
0.36,Ideal,F,VS1,60.1,56.0,862
0.41,Ideal,F,IF,61.7,56.0,1439
0.51,Ideal,E,SI1,61.7,55.0,1343
1.05,Very Good,I,VS2,63.2,59.0,4986
0.7,Good,H,VS2,63.9,59.0,2330
0.4,Premium,F,VS2,59.7,58.0,1080
0.24,Ideal,F,VS2,61.8,57.0,417
0.31,Premium,F,VS2,62.4,58.0,802
1.28,Ideal,J,VS2,62.8,57.0,5795
0.43,Premium,D,SI2,60.7,58.0,716
0.63,Premium,E,VS1,61.8,60.0,2064
0.28,Ideal,H,VS2,62.5,54.0,467
0.34,Premium,D,SI1,60.2,60.0,803
0.72,Premium,G,VS2,62.9,57.0,2795
0.4,Ideal,D,SI2,60.5,57.0,648
0.3,Ideal,E,VS2,61.8,56.0,658
1.02,Ideal,G,VVS2,59.2,58.0,8107
0.36,Very Good,E,SI1,63.1,58.0,810
1.09,Ideal,H,SI1,61.9,57.0,5358
0.7,Ideal,H,VVS1,60.3,56.0,3524
0.71,Very Good,D,VVS2,62.7,59.0,3670
0.5,Premium,E,SI2,61.4,58.0,1240
0.31,Ideal,G,VVS1,61.2,56.0,1046
1.0,Good,H,SI1,63.7,60.0,4788
1.2,Premium,H,SI1,62.9,55.0,5975
0.44,Ideal,E,SI1,62.6,56.0,1040
0.33,Ideal,D,VVS2,60.3,57.0,1062
0.84,Good,I,VS1,63.7,59.0,2753
1.04,Ideal,G,VVS2,62.1,55.1,8012
0.71,Ideal,J,VS1,62.3,55.0,2085
1.02,Ideal,G,SI2,62.0,55.0,4366
0.32,Ideal,F,VS2,61.2,56.0,828
0.7,Very Good,E,VS1,63.4,62.0,2695
1.21,Ideal,G,VS2,61.8,57.0,8001
0.31,Very Good,E,VVS1,61.2,58.0,890
0.44,Ideal,E,SI2,62.0,54.0,691
0.71,Premium,F,SI2,62.1,60.0,2169
0.51,Ideal,G,VVS1,61.0,57.0,2111
0.53,Ideal,F,VS2,61.5,55.0,1753
0.33,Ideal,H,VVS2,61.6,55.0,633
0.43,Premium,G,VVS1,62.2,58.0,1264
0.32,Good,F,VS2,63.3,57.0,602
0.59,Ideal,D,SI2,62.3,55.0,1572
0.4,Very Good,D,VS2,62.8,56.0,918
0.41,Very Good,F,VVS1,63.3,55.0,1143
1.02,Ideal,E,VS2,60.7,56.0,6704
1.19,Very Good,H,SI1,62.7,61.0,5595
1.22,Premium,I,VS2,60.1,58.0,5405
1.01,Ideal,E,SI1,62.2,56.0,5068
0.72,Ideal,E,SI1,62.1,57.0,2608
0.7,Premium,D,SI2,61.9,58.0,2536
1.03,Ideal,F,VS1,60.7,56.0,7429
1.29,Premium,H,SI1,61.6,57.0,6588
0.39,Ideal,G,IF,61.7,55.0,1154
1.12,Very Good,G,SI1,59.5,62.0,5088
0.91,Very Good,J,VS2,61.6,58.0,3112
0.56,Ideal,G,VVS1,62.0,56.0,2202
1.1,Ideal,H,SI2,62.6,56.0,4537
0.9,Ideal,E,VS1,61.7,56.0,6230
0.51,Premium,D,VVS2,62.4,59.0,2387
1.01,Ideal,D,VS2,62.6,54.0,7602
1.03,Ideal,E,VVS2,61.9,57.0,8811
1.22,Very Good,I,VS1,62.9,53.8,6763
0.7,Good,G,VS2,63.8,55.0,2496
0.56,Very Good,D,VS2,62.8,57.0,1963
1.21,Very Good,J,VS2,63.0,57.0,4691
1.2,Ideal,H,VS1,61.6,57.0,8275
0.32,Good,I,SI2,63.1,58.0,374
0.7,Very Good,D,VS2,61.8,55.0,2767
1.02,Ideal,F,VVS1,62.4,56.0,9645
1.0,Very Good,H,SI1,62.3,60.0,4702
0.3,Very Good,D,SI1,62.6,59.0,476
0.49,Premium,H,SI2,59.9,59.0,1011
1.08,Ideal,H,VS2,62.1,56.0,5839
0.3,Ideal,G,VS1,61.4,57.0,776
0.34,Premium,F,VS2,62.3,57.0,880
0.9,Very Good,H,SI1,62.3,63.0,3447
0.54,Premium,D,VS2,61.5,58.0,1892
0.7,Premium,H,SI1,62.2,57.0,2268
1.07,Ideal,F,VS2,62.0,57.0,6459
1.0,Very Good,G,VVS2,63.1,58.0,7589
0.7,Ideal,E,VVS1,61.8,55.0,5338
0.84,Premium,E,VS2,62.4,60.0,3591
0.8,Very Good,G,SI2,63.0,55.0,2616
0.47,Premium,H,VS1,61.8,58.0,1221
0.32,Ideal,D,VS2,62.5,56.0,758
0.58,Premium,E,VS1,60.7,58.0,2105
0.55,Good,G,SI1,63.6,61.0,1213
0.9,Very Good,F,VS2,59.6,59.0,4397
1.06,Ideal,I,SI1,62.8,56.0,4333
0.3,Ideal,F,VVS1,61.8,54.0,857
0.23,Ideal,J,VS1,62.8,56.0,340
1.06,Ideal,I,SI2,62.7,58.0,4591
1.03,Ideal,G,SI1,60.8,57.0,5653
0.31,Very Good,I,VS1,63.0,58.0,489
0.41,Good,D,VVS2,63.3,59.0,949
0.79,Premium,E,VS2,60.6,53.0,2876
0.33,Ideal,G,VS1,62.9,57.0,854
0.89,Ideal,G,VVS2,61.7,55.0,4062
0.74,Premium,D,VS2,62.4,57.0,2855
0.83,Ideal,E,SI2,61.9,53.0,3103
1.02,Ideal,D,VS1,61.2,56.0,8658
1.21,Premium,F,VS1,60.1,58.0,9448
0.3,Ideal,F,VVS1,62.0,54.2,854
0.38,Ideal,I,VVS1,60.6,58.0,744
1.14,Ideal,I,VS1,61.7,53.0,5863
1.01,Premium,H,VS2,61.5,59.0,5400
1.0,Premium,G,VS2,62.1,57.0,5806
0.57,Ideal,H,SI2,62.0,57.0,1121
0.35,Premium,E,VS2,60.7,60.0,984
0.33,Ideal,F,VS2,60.9,56.0,619
0.38,Very Good,E,VVS1,62.4,57.0,1098
0.32,Ideal,D,VS2,61.5,55.0,808
1.07,Very Good,G,VS1,61.2,55.0,6780
1.28,Ideal,G,VS1,62.7,53.0,9372
1.0,Very Good,H,VS2,60.7,60.0,4978
1.06,Ideal,G,VS2,62.3,56.0,7255
0.44,Premium,G,VVS2,60.9,57.0,1155
0.48,Premium,E,SI2,62.9,60.0,1005
0.31,Ideal,D,SI1,61.8,57.0,684
0.56,Ideal,F,VS2,61.6,55.0,1723
0.38,Ideal,F,SI1,61.3,55.0,710
1.13,Very Good,I,VS2,61.6,57.0,4348
0.35,Ideal,E,VVS1,61.8,56.0,905
0.31,Ideal,H,VS1,61.6,56.0,698
0.71,Good,G,VS2,64.0,55.0,2599
0.4,Premium,G,VS1,61.3,60.0,1125
1.0,Very Good,D,VVS2,61.7,58.0,10113
0.31,Ideal,G,VS2,61.6,54.0,544
0.53,Premium,H,SI2,62.5,60.0,1015
1.2,Premium,F,VVS2,62.8,60.0,10580
1.01,Very Good,H,SI1,62.7,59.0,4242
0.32,Ideal,G,SI1,61.3,57.0,612
0.3,Ideal,E,VVS2,61.9,55.0,766
1.01,Very Good,F,VVS1,62.8,58.0,9243
0.56,Ideal,D,SI1,61.9,56.0,1745
0.5,Very Good,I,SI1,63.2,57.0,1087
0.32,Very Good,I,VS1,63.2,54.0,648
0.72,Good,H,SI2,64.1,58.0,1674
0.9,Premium,G,SI1,62.2,60.0,3984
1.51,Premium,I,SI1,61.7,60.0,9177
1.19,Ideal,H,SI1,62.0,56.4,6275
0.38,Ideal,E,VVS1,61.9,56.0,1327
0.54,Ideal,E,SI2,60.6,57.0,1246
1.4,Premium,D,SI2,61.8,54.0,8419
0.71,Premium,G,VVS2,62.1,57.0,2832
0.42,Ideal,H,VVS2,61.9,55.0,1102
1.23,Ideal,H,SI1,63.0,56.0,5889
0.53,Very Good,E,SI2,63.2,54.0,1227
1.23,Ideal,F,VS2,61.9,57.0,9759
0.91,Very Good,H,VVS2,63.6,56.0,4143
1.0,Premium,E,VS2,61.5,58.0,6600
0.31,Ideal,F,IF,62.1,54.0,914
0.32,Ideal,E,VS2,61.6,55.0,900
0.53,Good,J,VS2,63.8,57.0,1122
0.3,Ideal,D,VS2,61.0,55.0,911
0.33,Ideal,I,SI1,63.0,57.0,557
0.36,Very Good,E,SI2,62.4,58.0,471
0.47,Ideal,D,VS2,61.9,56.0,1319
1.04,Premium,H,SI2,61.5,59.0,4368
0.24,Very Good,F,VVS2,62.8,58.0,552
0.31,Ideal,E,VS2,61.8,54.0,680
0.33,Ideal,D,VS2,60.9,56.0,940
0.3,Premium,D,VS2,61.9,58.0,710
0.33,Very Good,I,VVS1,62.5,61.0,608
0.62,Premium,G,SI1,59.9,58.0,1572
1.0,Good,F,VS2,62.1,61.0,6030
0.31,Ideal,G,VVS1,60.8,56.0,816
0.8,Very Good,H,VS2,61.2,53.0,2918
1.21,Good,G,VS1,63.7,57.0,6025
0.72,Ideal,G,SI2,61.4,56.0,2297
0.9,Ideal,F,SI1,60.7,57.0,4401
0.32,Very Good,H,VS1,63.0,55.0,561
1.11,Very Good,F,VS1,62.1,58.0,8233
0.3,Ideal,D,VVS2,62.9,56.0,965
0.7,Very Good,H,VS1,62.3,57.0,2540
0.72,Ideal,E,SI2,61.8,55.0,2308
1.09,Ideal,F,SI1,62.0,56.0,5816
0.57,Good,I,SI1,63.3,56.0,1072
0.31,Ideal,E,VVS2,61.3,55.0,791
0.5,Very Good,E,VS1,61.6,59.0,1554
0.4,Premium,G,VVS2,61.7,59.0,1050
0.54,Premium,D,VS2,61.7,58.0,1993
0.92,Premium,D,SI1,62.3,58.0,4274
0.73,Ideal,D,SI1,61.9,56.0,3189
0.71,Good,H,VVS2,60.4,63.0,2738
0.36,Premium,G,VS2,62.5,58.0,589
1.11,Ideal,G,VS2,62.0,56.0,7608
2.0,Premium,J,VS1,63.0,58.0,9296
0.75,Very Good,E,SI1,59.2,59.0,3260
1.13,Ideal,H,SI1,62.0,57.0,5050
0.58,Ideal,H,VS2,62.4,58.0,1600
0.53,Ideal,G,VS1,62.4,54.0,1659
0.3,Good,E,SI1,63.2,57.0,526
0.35,Premium,H,VVS1,59.9,59.0,798
0.38,Ideal,E,VS1,61.6,56.0,1069
0.6,Very Good,J,VS1,62.6,56.0,1378
0.41,Ideal,G,VS2,62.7,56.0,827
0.7,Very Good,H,SI2,61.6,56.1,2306
0.79,Very Good,I,SI1,63.3,57.0,2095
0.4,Good,D,VS1,63.2,56.0,898
1.7,Ideal,H,SI2,61.9,59.0,9864
1.2,Very Good,I,SI1,63.1,61.0,4301
1.5,Good,H,SI2,63.4,59.0,7897
0.36,Ideal,E,VVS2,61.9,55.0,998
0.35,Premium,H,VS1,61.3,59.0,614
0.54,Ideal,G,IF,61.6,57.0,2361
0.31,Premium,E,VVS2,61.3,60.0,816
0.3,Ideal,G,VS1,61.9,56.0,605
1.2,Good,D,SI1,63.5,55.0,5913
1.11,Premium,I,SI2,61.5,58.0,4120
0.27,Good,F,VVS1,61.7,61.0,498
1.11,Ideal,H,SI1,62.0,56.0,5102
0.5,Premium,E,VS1,62.2,58.0,1675
0.58,Ideal,E,VS2,61.9,57.0,1984
0.7,Very Good,E,VS1,60.7,57.0,3358
0.57,Ideal,E,VVS2,62.1,54.6,2442
0.38,Ideal,F,VVS2,62.0,55.0,963
0.29,Ideal,F,VVS1,61.1,57.0,715
0.35,Premium,I,VS2,61.2,58.0,630
0.7,Very Good,D,SI1,62.4,57.0,3075
1.21,Very Good,H,VS2,62.9,57.0,6189
0.43,Ideal,G,IF,61.6,57.0,1280
0.3,Fair,F,SI1,64.6,56.0,599
1.01,Premium,D,VS1,61.1,56.0,6733
0.41,Premium,E,VS1,60.4,58.0,1153
0.34,Premium,D,SI1,59.7,59.0,626
0.41,Ideal,G,VS2,62.2,57.0,891
1.01,Premium,F,SI1,61.7,58.0,5202
1.25,Ideal,F,VS1,62.4,57.0,7840
0.33,Premium,H,VS2,62.8,59.0,668
0.31,Premium,H,VS1,59.9,60.0,698
0.9,Premium,I,VS2,61.9,59.0,2857
1.1,Ideal,I,VS1,61.7,57.0,5544
0.41,Ideal,I,VS1,60.9,53.0,969
0.91,Very Good,E,SI1,62.1,60.0,4284
0.7,Good,E,SI1,64.3,57.0,2164
0.32,Premium,H,VS2,62.5,59.0,505
0.31,Very Good,G,VVS1,59.8,62.0,761
0.77,Ideal,E,VVS1,61.6,55.0,5251
0.9,Premium,I,VS1,62.9,60.0,3484
0.72,Very Good,E,VVS1,60.8,58.0,4339
0.27,Ideal,F,IF,61.8,55.0,760
0.97,Very Good,F,SI2,59.9,59.0,4063
1.24,Premium,H,VS2,61.2,59.0,6850
1.07,Very Good,E,VS2,60.4,58.0,6441
1.01,Premium,E,SI2,59.6,61.0,4434
0.9,Good,E,VS1,62.2,60.0,5068
0.7,Ideal,H,VS2,62.6,54.0,2475
0.3,Premium,H,VS1,62.3,58.0,526
0.45,Very Good,F,SI2,61.5,61.0,729
1.5,Very Good,H,SI1,60.6,60.0,10380
0.41,Ideal,E,VS2,62.3,54.0,875
0.5,Very Good,E,SI2,63.1,58.0,1181
1.1,Ideal,J,SI1,61.5,55.0,4390
0.83,Ideal,G,SI1,61.8,57.0,2800
0.3,Ideal,F,VS2,62.4,57.0,565
0.31,Ideal,D,SI1,61.9,57.0,732
1.24,Premium,F,VS2,62.2,58.0,9411
0.75,Very Good,I,SI1,59.1,58.0,2180
0.71,Very Good,E,VS2,63.5,59.0,2858
0.35,Good,E,VS1,59.4,55.0,851
1.09,Premium,G,VS1,60.2,61.0,7422
0.34,Premium,I,VVS1,62.6,58.0,626
0.3,Very Good,H,VVS2,61.5,57.0,525
1.01,Ideal,G,SI1,62.3,57.0,4694
0.34,Ideal,F,SI2,60.1,56.0,574
0.3,Premium,H,VS2,61.1,59.0,608
0.53,Premium,H,SI1,59.4,60.0,1242
0.76,Premium,E,SI2,59.3,62.0,2329
1.0,Very Good,F,SI2,61.9,59.0,3906
1.04,Ideal,E,SI2,62.0,55.0,4892
0.51,Very Good,G,VS1,62.4,60.0,1752
0.9,Very Good,G,SI2,59.8,61.0,3842
0.56,Very Good,F,SI1,63.3,56.0,1338
1.02,Premium,H,SI1,59.1,60.0,4037
0.41,Ideal,E,VVS2,61.4,56.0,1243
1.0,Very Good,G,SI1,61.0,56.7,5522
1.33,Ideal,H,VS1,59.3,57.0,8558
1.05,Very Good,H,SI1,60.5,58.0,5406
0.9,Very Good,J,SI2,62.9,55.0,2482
0.52,Ideal,G,VS1,61.1,55.0,1689
0.7,Very Good,I,VS1,61.4,57.0,2405
0.4,Premium,D,VS2,62.4,59.0,1050
1.31,Premium,G,VS1,61.5,59.0,9891
1.01,Good,F,IF,62.7,59.0,9451
0.73,Very Good,G,VS1,61.0,60.0,2708
0.81,Ideal,E,VS2,62.0,57.0,4314
0.9,Very Good,F,VS2,61.8,57.0,5218
0.5,Premium,E,SI1,63.0,61.0,1374
1.01,Good,G,VS1,63.7,56.0,6529
0.56,Ideal,G,SI1,62.0,57.0,1631
0.4,Premium,D,SI2,61.9,58.0,855
0.63,Ideal,D,SI1,62.0,56.0,1992
0.3,Ideal,G,VVS2,61.5,57.0,684
0.7,Premium,F,SI2,62.9,60.0,2184
0.93,Ideal,H,SI1,62.4,55.0,4635
0.32,Premium,G,SI2,61.6,59.0,540
1.0,Very Good,H,VVS2,60.3,59.0,5929
0.71,Ideal,F,VS1,61.3,56.0,3480
0.31,Premium,G,VVS2,62.2,59.0,907
0.36,Ideal,F,IF,62.2,55.0,1215
0.7,Premium,F,VS2,62.6,61.0,2717
1.21,Good,I,SI1,62.7,59.0,5252
0.4,Ideal,J,VVS1,62.4,54.0,704
1.14,Premium,J,SI2,60.4,59.0,3861
1.01,Good,D,VS2,64.0,58.0,6176
0.96,Good,H,VS1,63.9,54.0,4535
0.62,Ideal,G,VS1,62.4,57.0,2178
1.02,Very Good,J,SI2,62.6,60.0,3534
0.74,Ideal,I,VVS1,60.8,57.0,2822
1.11,Premium,D,SI2,61.3,60.0,5134
0.3,Ideal,F,IF,61.1,57.0,1013
1.0,Premium,G,SI2,62.7,59.0,4170
1.2,Ideal,J,SI1,61.9,57.0,5071
0.5,Very Good,G,VS1,62.9,58.0,1569
1.07,Very Good,E,VS1,62.0,60.0,7768
0.34,Premium,G,VS2,62.0,59.0,765
1.03,Very Good,I,SI2,63.5,58.0,5884
0.9,Very Good,F,SI1,62.7,59.0,4119
0.82,Ideal,D,SI1,61.9,56.0,4113
1.01,Ideal,D,SI1,61.4,59.0,5812
1.0,Premium,E,VS1,61.1,60.0,7452
0.76,Ideal,G,VS2,61.7,54.0,2954
1.26,Ideal,H,VS1,61.4,56.0,7691
0.2,Premium,E,SI2,60.2,62.0,345
0.35,Premium,F,VS2,62.0,59.0,906
1.21,Ideal,G,VS1,62.5,57.0,6025
0.79,Very Good,E,VVS1,62.8,60.0,4570
0.37,Ideal,D,SI1,61.5,57.0,681
0.36,Ideal,I,VVS1,61.7,56.0,824
0.32,Premium,E,VS2,60.5,59.0,702
0.53,Ideal,E,VS2,61.3,55.0,1739
0.41,Ideal,D,VVS2,62.1,56.0,1356
1.0,Ideal,G,VS2,62.6,57.0,5967
0.31,Premium,G,VS1,62.9,58.0,802
0.51,Very Good,G,VS1,59.6,58.0,1741
0.64,Ideal,H,VVS1,62.2,58.0,2308
0.42,Ideal,G,VVS1,62.0,56.0,1235
0.41,Premium,G,SI1,61.4,60.0,923
0.71,Ideal,D,SI1,62.3,56.0,3316
0.32,Ideal,D,VS2,62.6,55.0,758
1.01,Very Good,E,SI2,60.4,60.0,4352
1.24,Premium,F,SI1,62.6,59.0,6125
1.01,Ideal,H,SI1,61.9,58.0,4767
1.08,Very Good,I,VS1,62.5,57.0,4790
0.5,Premium,D,VVS1,61.5,58.0,2525
0.3,Premium,I,VVS1,61.1,59.0,552
0.58,Ideal,H,VS2,61.8,55.0,1876
0.36,Premium,F,VS2,60.5,59.0,726
0.33,Premium,E,VS1,61.6,58.0,1002
0.51,Premium,F,SI2,62.9,59.0,956
0.7,Good,H,SI1,63.7,59.0,2218
0.71,Very Good,E,SI2,61.9,63.0,2375
1.18,Ideal,I,SI1,61.5,56.0,5378
1.23,Premium,I,SI1,60.3,60.0,4133
1.04,Very Good,F,SI2,63.1,60.0,4508
0.61,Good,G,VS2,61.2,62.8,1821
1.02,Ideal,G,SI2,61.0,57.0,4890
0.41,Ideal,E,SI2,61.9,57.0,683
1.01,Premium,E,SI2,59.5,60.0,3801
0.31,Ideal,I,VS2,62.3,53.8,447
0.3,Premium,H,VS1,62.3,58.0,675
1.24,Ideal,I,SI1,61.1,60.0,5976
0.31,Premium,G,VVS2,60.5,58.0,907
0.3,Premium,H,SI1,62.9,58.0,554
0.3,Premium,H,SI1,60.8,61.0,540
0.23,Very Good,F,VVS2,61.5,58.0,530
0.58,Ideal,G,SI2,62.1,54.0,1213
0.9,Very Good,F,SI1,63.0,61.0,4009
0.3,Very Good,D,SI1,62.5,59.0,552
0.53,Ideal,F,VS1,61.8,56.0,1908
0.34,Premium,G,VS2,61.3,58.0,596
0.38,Premium,I,VS2,60.2,58.0,633
0.39,Ideal,F,VVS2,61.3,56.0,988
0.9,Very Good,G,VS1,62.4,58.0,4297
1.28,Very Good,D,SI2,61.2,58.0,6811
0.54,Ideal,E,VVS2,61.1,57.0,2375
0.32,Ideal,G,VVS1,61.2,56.0,814
0.71,Good,I,VVS2,63.1,58.0,2428
1.27,Very Good,H,VS2,59.2,58.0,7176
0.36,Premium,H,VS2,60.9,59.0,729
0.56,Ideal,D,VS2,61.4,55.0,2066
1.04,Ideal,G,VS1,62.3,56.0,7457
0.26,Ideal,E,VVS2,62.0,56.0,599
1.24,Ideal,G,VS2,62.0,57.0,9188
1.21,Ideal,H,SI1,60.3,60.0,6620
0.72,Ideal,E,VVS1,61.4,57.0,4864
1.01,Premium,G,VS1,59.8,59.0,6529
1.2,Premium,D,SI2,62.0,58.0,5551
1.0,Very Good,G,VS1,62.4,57.0,6642
0.33,Ideal,D,VS2,60.7,57.0,781
1.5,Ideal,I,I1,61.3,57.0,5695
1.0,Very Good,G,I1,62.5,62.0,3011
0.7,Premium,F,SI1,62.2,59.0,2401
1.01,Good,J,VS1,63.2,62.0,3823
0.3,Good,F,VS2,63.1,55.0,484
0.5,Ideal,F,VS2,61.4,57.0,1632
0.34,Very Good,G,VVS1,60.9,57.0,819
0.93,Very Good,F,SI2,63.5,58.0,3420
0.79,Very Good,E,SI2,59.2,59.0,2941
0.31,Ideal,H,SI1,61.3,57.0,421
0.31,Ideal,H,VVS1,61.5,54.0,707
0.52,Ideal,G,VS1,62.3,54.0,1629
0.75,Premium,H,SI1,60.7,62.0,2331
0.72,Ideal,H,VVS1,61.8,55.0,3180
1.63,Very Good,I,SI1,62.0,54.0,9090
0.52,Ideal,G,SI1,61.3,55.0,1389
0.27,Premium,E,VS1,60.2,59.0,603
1.14,Ideal,G,VVS2,61.0,56.0,9013
1.01,Premium,H,SI1,61.2,58.0,4642
1.33,Premium,F,SI2,59.9,58.0,6668
1.01,Very Good,J,VVS2,63.7,57.0,5067
1.42,Ideal,I,VS2,62.9,57.0,6069
0.6,Ideal,E,VS1,61.6,55.0,2442
0.4,Very Good,G,VVS1,60.6,58.0,1008
0.59,Very Good,H,SI1,62.8,56.0,1283
0.9,Very Good,H,VVS1,63.5,57.0,4485
1.01,Premium,D,SI2,61.8,57.0,4338
0.54,Ideal,H,VS2,62.6,57.0,1389
0.92,Ideal,I,SI1,61.7,56.0,4457
0.31,Ideal,E,SI1,61.9,53.0,516
1.51,Premium,H,I1,61.9,58.0,6038
0.34,Very Good,D,SI2,60.7,61.0,507
0.3,Very Good,G,VVS1,63.2,58.0,1013
0.71,Good,F,SI2,64.1,60.0,2130
0.31,Premium,F,VS2,60.7,61.0,749
0.35,Premium,D,VVS1,60.8,58.0,1247
0.35,Ideal,F,VS1,61.4,55.0,923
1.68,Ideal,I,VS2,62.1,57.0,10800
0.38,Ideal,I,VVS2,62.6,54.0,983
0.32,Ideal,E,VS2,62.3,56.0,702
0.39,Ideal,G,IF,61.4,54.0,1200
0.5,Good,E,SI1,64.2,59.0,1090
0.98,Premium,H,VS2,59.9,60.0,4623
1.0,Good,I,SI2,63.9,60.0,3465
0.8,Very Good,E,VVS2,62.9,59.0,4304
0.59,Ideal,G,IF,59.5,58.0,2551
0.51,Ideal,D,SI1,62.8,56.0,1687
0.3,Very Good,G,SI1,62.7,58.0,447
0.36,Ideal,F,VVS2,61.5,55.0,828
0.32,Premium,G,VS2,62.5,60.0,720
0.32,Ideal,G,IF,61.2,57.0,954
0.78,Ideal,G,SI1,62.8,56.0,2583
1.01,Very Good,G,VS2,61.9,59.0,5759
1.51,Premium,I,SI2,62.6,59.0,7162
0.24,Very Good,E,VVS2,62.2,56.0,608
0.9,Ideal,E,SI2,62.0,55.0,3599
1.54,Ideal,G,SI2,61.7,56.0,9359
0.31,Ideal,I,SI1,62.7,56.0,523
1.03,Premium,F,VS2,62.0,58.0,6484
0.53,Ideal,F,VS2,61.1,54.0,1655
0.31,Premium,E,VVS1,61.3,58.0,988
0.5,Premium,J,VS1,62.4,61.0,1035
1.2,Very Good,G,SI2,63.1,57.0,5609
0.7,Premium,F,SI1,61.9,58.0,2230
0.42,Ideal,E,VS2,61.8,57.0,958
0.7,Ideal,G,VS1,60.6,57.0,2512
0.31,Ideal,D,SI1,61.9,57.0,548
1.03,Ideal,J,SI1,62.6,57.0,3922
0.24,Very Good,E,VVS2,63.1,56.0,552
0.58,Very Good,G,VS2,63.2,58.0,1336
0.3,Ideal,D,VVS1,62.2,57.0,1112
0.77,Premium,E,SI2,62.5,60.0,2171
0.61,Ideal,F,VS2,61.5,54.0,2306
1.09,Very Good,H,SI1,62.5,57.0,5950
0.32,Ideal,D,VS2,62.1,56.0,972
0.9,Ideal,G,VS2,62.7,56.0,4133
0.7,Good,D,SI1,59.9,63.0,2444
0.55,Ideal,E,SI1,60.1,57.0,1621
1.16,Ideal,I,SI1,61.5,60.0,4742
1.01,Premium,H,SI2,61.1,60.0,3054
0.3,Premium,D,VS2,61.0,58.0,710
1.14,Ideal,H,VS2,61.6,56.0,5831
0.83,Ideal,F,SI1,62.8,56.0,3482
0.3,Ideal,F,VVS1,61.9,54.0,814
0.4,Good,G,VS1,59.6,61.0,820
0.32,Good,G,VS2,63.3,54.0,561
0.3,Ideal,H,VS1,62.3,55.1,539
0.3,Ideal,D,VS2,62.5,57.0,911
0.33,Very Good,J,IF,60.9,54.0,529
0.54,Premium,H,VS1,62.6,59.0,1600
1.13,Ideal,G,VVS1,61.2,57.0,9049
0.54,Ideal,E,VS2,61.0,56.0,1847
0.44,Ideal,G,IF,61.3,55.0,1378
0.7,Premium,H,SI1,62.0,58.0,2155
0.72,Ideal,G,VS1,62.6,53.0,2746
0.9,Premium,G,VS2,61.5,60.0,4309
1.03,Premium,H,SI2,62.3,59.0,4078
0.5,Ideal,E,VS1,61.9,55.0,1675
0.3,Premium,D,VS2,61.1,59.0,911
0.91,Very Good,I,VS2,59.9,58.0,4008
0.32,Ideal,D,SI1,59.3,55.0,756
0.52,Ideal,E,VS2,62.2,56.0,1815
0.37,Very Good,E,VS2,61.8,59.0,811
1.02,Ideal,H,SI2,62.4,55.0,4870
0.32,Ideal,H,VVS1,61.9,56.0,730
1.01,Ideal,G,VS2,60.6,57.0,6826
0.31,Ideal,F,VS2,60.8,57.0,749
0.83,Premium,E,SI1,60.7,58.0,3482
1.2,Very Good,G,VVS1,62.8,56.0,9609
0.33,Premium,E,VS2,61.0,60.0,723
0.6,Premium,E,VS2,62.7,58.0,1915
0.27,Ideal,F,VVS1,62.5,56.0,760
0.31,Very Good,H,VS2,63.1,58.0,628
0.4,Ideal,E,VS1,62.4,54.0,951
1.0,Very Good,F,VS1,62.9,56.0,6468
1.05,Ideal,G,VS1,62.0,56.0,6936
1.58,Premium,H,SI2,60.4,58.0,8887
1.4,Premium,G,SI2,60.6,58.0,5723
0.23,Very Good,G,VVS2,62.6,54.0,431
0.38,Ideal,G,VVS1,61.6,57.0,1067
0.31,Ideal,D,VS2,61.8,57.0,734
0.9,Good,E,SI1,63.8,56.0,3510
1.2,Premium,E,VS2,62.7,59.0,9139
0.92,Ideal,G,SI1,62.6,55.0,4249
0.32,Premium,G,SI2,62.7,58.0,421
0.33,Very Good,G,VVS1,61.2,57.0,795
0.32,Ideal,F,VS2,60.3,55.0,828
0.5,Very Good,F,VS2,59.4,59.0,1436
0.32,Ideal,E,VS1,61.6,57.0,758
0.71,Premium,I,VS2,59.7,60.0,1923
0.28,Premium,H,VVS1,61.5,58.0,646
0.36,Ideal,E,SI1,61.9,56.0,631
1.01,Premium,F,VVS1,62.8,58.0,9412
0.31,Ideal,I,VS2,59.9,57.0,435
1.01,Premium,H,VS2,62.6,60.0,4745
0.55,Ideal,F,SI1,61.0,56.0,1390
0.7,Very Good,E,SI1,62.7,59.0,2753
0.7,Good,F,VS2,63.5,56.0,2212
0.9,Good,F,SI1,62.6,58.0,4006
0.32,Premium,G,VS1,61.2,62.0,773
0.51,Ideal,G,VS1,62.0,56.0,1656
0.3,Very Good,G,VVS2,62.3,57.0,655
0.71,Ideal,D,VS2,62.4,56.0,3372
0.51,Ideal,G,VS1,62.7,56.0,1781
1.1,Premium,H,SI2,62.8,55.0,4004
0.5,Good,D,SI1,64.1,56.0,1235
1.02,Premium,H,VS2,60.0,58.0,4958
1.22,Very Good,G,SI2,63.2,58.0,6409
0.41,Very Good,F,SI1,63.1,56.0,878
